Region;Totalt_antal_fall;Fall_per_100000_inv;Totalt_antal_intensivvårdade;Totalt_antal_avlidna
Blekinge;30;19;2;1
Dalarna;163;57;11;16
Gotland;12;20;1;0
Gävleborg;163;57;14;4
Halland;126;38;10;9
Jämtland Härjedalen;86;66;2;0
Jönköping;199;55;17;13
Kalmar;47;19;4;1
Kronoberg;49;24;1;0
Norrbotten;74;30;10;1
Skåne;322;23;19;11
Stockholm;2849;120;230;225
Sörmland;412;138;45;45
Uppsala;274;71;22;9
Värmland;53;19;4;1
Västerbotten;97;36;9;0
Västernorrland;61;25;5;2
Västmanland;139;50;12;4
Västra Götaland;537;31;54;18
Örebro;166;54;13;1
Östergötland;584;125;35;12
