Region;Totalt_antal_fall;Fall_per_100000_inv;Totalt_antal_intensivvårdade;Totalt_antal_avlidna
Blekinge;36;23;2;1
Dalarna;186;65;12;21
Gotland;12;20;1;0
Gävleborg;182;63;16;4
Halland;131;39;11;12
Jämtland Härjedalen;90;69;3;0
Jönköping;233;64;21;13
Kalmar;52;21;4;1
Kronoberg;53;26;1;0
Norrbotten;81;32;13;3
Skåne;348;25;24;13
Stockholm;3143;132;253;303
Sörmland;452;152;49;50
Uppsala;308;80;30;9
Värmland;57;20;4;1
Västerbotten;123;45;11;0
Västernorrland;68;28;6;2
Västmanland;178;65;14;5
Västra Götaland;605;35;64;21
Örebro;173;57;16;1
Östergötland;695;149;35;17
