year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,1019.6039999086405,881.7282502356039,982.2772318076493,930.3696949172082,924.5373874014283,865.6310814920514,897.7087728288408,874.7294812166681,859.3321893750091,884.9943424444407,918.9383721862796,1037.4508609069271
1991,1041.2472231296103,861.3100568566836,927.8589830426758,919.2795047538893,923.9170605856658,886.3528583482765,928.2067997300591,872.9039464361247,883.686263745005,865.2519793136936,911.9753543188415,991.5094368338077
1992,1054.5203190937773,967.8932397195238,960.6262543658913,893.839198496793,866.9628875857395,869.3852160369504,876.9982483121844,832.7042423471864,836.2800605370692,889.1098905682385,891.7629169671836,956.1276443850712
1993,1007.2711867984415,874.6811740520286,1043.5155155422706,902.208512338481,861.4909911231034,833.6195611080702,860.2293214516411,833.50486386521,838.207450822479,864.7025139231896,905.1906406528468,1268.2074143054394
1994,1045.8289744831907,828.4222111763889,881.3510828715004,818.177913428948,845.4960407554572,805.7709306014917,877.253363772524,815.2184496352429,871.2206106545865,854.715908728154,855.2850363807896,918.6858568843961
1995,945.6701860378464,838.992590568176,918.6315622659811,925.220806714587,885.0036940455099,833.993853400268,845.9226580055027,825.4732786822432,833.3122074228261,853.9888020718996,875.6878656871361,1049.5075899348421
1996,1149.9687361812817,925.4683255845016,907.19503634988,842.7277799196621,855.0991372275736,812.4236294498238,825.8164749758197,812.5371281407221,809.9266582500618,852.4886673369133,855.8936280638616,993.5675401234641
1997,1065.4080457819102,929.6062741997763,912.8013726996459,854.4384039762203,863.5221345168313,827.5278522496603,836.4980361585136,834.0000102598457,828.4362253037214,864.9982407296806,815.8325491786237,915.0723053347986
1998,915.9711500784892,891.1416313426074,978.3283889128955,905.200354279819,841.2558402750823,794.3178459524564,836.8341451577335,834.1131020085958,791.5968028033187,865.8586054152026,889.554356172277,989.7794454988504
1999,975.8595855941959,955.5787466505805,1027.6380403273374,848.8494154501005,853.0415441702892,785.2876799899421,837.2927362755262,850.5489270934203,815.7655887934762,861.6524031631092,863.8051179113143,1014.3818495094433
2000,1110.2833258704413,924.783943081458,912.5755741958942,848.4816375466843,847.0121116623109,794.9004629933764,843.3948171776993,820.221524385657,814.9086231113838,840.6818463142407,842.03833174597,922.2970531232876
2001,932.879680554468,842.3427717455197,937.2768654156747,898.6041883030106,890.7118052187934,842.3427717455197,861.7354844667391,825.3177739495655,821.0333374181333,854.9705846802672,868.7258809127599,947.1987184358335
2002,951.4714688386782,836.4547312527017,1012.0125055172341,915.1917752446642,850.157897254156,792.3125653627714,845.8896980078014,854.763059598907,806.5773365282196,906.4307346863573,867.1183732067756,988.0881255310886
2003,1042.6831442782789,851.5376242152436,929.316392624968,861.6096949445604,813.7114030318091,769.8419394107846,834.4151039754048,813.1518435468471,808.2277200791812,855.1188049190007,826.6931830829286,950.6915649505183
2004,970.0397428322422,820.2116015702571,875.5756061852805,807.512413388944,827.229573986246,777.1011995863254,798.7120987720689,802.9451614991733,779.6633165000991,834.8045283400119,828.2321414742444,924.3672239345366
2005,910.225950791418,871.5659949892754,1033.8491905484123,882.643346221981,823.0471965900249,791.1444250398329,796.0184595822233,787.8212196700213,763.4510469580689,791.6982926014682,791.2551985521599,893.4991504300324
2006,925.2129856478205,808.8056490907287,898.831719572559,811.9933854081562,812.2132292921167,786.6014168107168,811.6636195822153,804.1889275275579,789.8990750701246,828.8114425311354,837.8250417735165,888.8288228523556
2007,919.5001738551914,838.2491206560314,952.7640278494783,849.8096731917508,790.807230533032,769.8673617890875,785.3541397142964,763.6508382557289,782.845717937678,818.2908082594593,815.346139217342,902.5955923171111
2008,904.5960513331363,816.7648910219434,904.9205506938919,848.2413290152404,800.7562558913319,764.9531597546264,793.2927705939521,761.3836667863143,770.361482433887,798.1602610052868,805.0829140347404,911.086038548249
2009,1007.1568903158868,848.177255580553,860.0766078769942,788.251688610188,787.5012790059079,730.4701490806231,742.047897260944,728.1117188957428,718.999602272342,797.0422011174687,791.7893338875082,844.2108048150728
2010,908.7346918686561,777.0786718469928,856.8798591240463,797.4805732547082,775.9098129121758,728.3053762941732,770.809337560247,744.881921187942,752.5326342158353,792.0613181932838,791.6362785806231,914.0476870269155
2011,911.0120169670629,767.0902667767601,858.7823495592917,792.9413142816167,770.8887880427799,707.8966437146196,758.6491084078274,740.6061323942338,749.2583197223897,803.1762188039474,758.754622887439,865.218732815603
2012,882.5986425885872,877.5743618907394,916.1985197554438,806.7110695481784,780.0195783408624,710.7263737163788,750.7112742700839,740.0346777871574,726.1132333535376,783.3690988060941,763.6906660728571,883.3313501903565
2013,911.463848145157,822.5886043335289,888.2339127731562,820.0996826865288,746.2616738255263,708.9278491205249,718.7798306399003,719.0909458457753,709.550079532275,754.7654894527766,750.6172867077764,822.6923094021539
2014,831.508037262623,760.0863917072996,788.9218549271931,740.0760168749893,758.0340455706524,699.4395633693741,757.623576343323,738.331522658839,717.2949747582051,764.8067878215883,744.1807091482837,827.9164315234904
2015,880.4860001700615,822.2611325304257,880.5876142497119,785.5784497766585,746.9650995095352,695.6499892861212,723.4922471103102,692.398338737311,711.9082420301733,735.5843225886988,746.1521868723325,807.1206346625273
2016,871.102206939426,783.0796798715452,818.3688934568459,756.4122627871986,715.2080957884526,671.9988598359963,724.9326802139474,717.5139250852194,688.8414390471627,750.2968024783823,756.9135300256262,847.9436605240724
2017,919.1405022627496,794.6673702497915,816.7497158654555,765.5543226668085,741.4914976237307,677.0268922614111,685.9390496847733,692.771703709351,684.5527140855837,751.2948707894291,740.8973537955065,817.838979550533
2018,862.8139263360687,817.1395778557087,924.9545635389617,764.2122212475664,681.4887231415069,653.0647723704675,731.9657391659389,683.2529683617784,681.3907095181585,729.2213577121834,696.0927530204202,785.4811775141717
2019,813.0439528319517,727.0974766904949,756.6203340317411,716.0264051875275,694.0784915062063,644.2586697428534,674.3642150579399,682.8131906786255,665.7210101126409,731.8560951435247,722.338858237465,766.8173735739479
2020,800.6890637684918,725.8030573121721,824.8299474287526,1022.2925223477849,857.8389108009461,713.3877457154663,674.9594002970917,668.8502787177601,649.0449006944443,695.0603809774722,788.6678890478718,898.0408721617073
