1;LESOTHO;63.2;1995
2;SOUTH AFRICA;62.5;2013 EST.
3;MICRONESIA, FEDERATED STATES OF;61.1;2013 EST.
4;HAITI;60.8;2012
5;BOTSWANA;60.5;2009
6;NAMIBIA;59.7;2010
7;ZAMBIA;57.5;2013
8;COMOROS;55.9;2004 EST.
9;HONG KONG;53.9;2016
10;GUATEMALA;53.0;2014 EST.
11;PARAGUAY;51.7;2014
12;COLOMBIA;51.1;2015
13;PAPUA NEW GUINEA;50.9;1996
14;PANAMA;50.7;2014 EST.
15;CHILE;50.5;2013
16;RWANDA;50.4;2013 EST.
17;ESWATINI;50.4;2001
18;GAMBIA, THE;50.2;1998
19;BRAZIL;49.0;2014
20;CONGO, REPUBLIC OF THE;48.9;2011 EST.
21;NIGERIA;48.8;2013
22;COSTA RICA;48.5;2014
23;KENYA;48.5;2016 EST.
24;MEXICO;48.2;2014
25;DOMINICAN REPUBLIC;47.1;2013 EST.
26;NICARAGUA;47.1;2014
27;HONDURAS;47.1;2014
28;BOLIVIA;47.0;2016 EST.
29;CHINA;46.5;2016 EST.
30;MALAYSIA;46.2;2009
31;MALAWI;46.1;2010
32;TOGO;46.0;2011
33;SOUTH SUDAN;46.0;2010 EST.
34;ECUADOR;45.9;DECEMBER 2017
35;SINGAPORE;45.9;2017
36;SAUDI ARABIA;45.9;2013 EST.
37;MOZAMBIQUE;45.6;2008
38;PERU;45.3;2012
39;UNITED STATES;45.0;2007
39;US;45.0;2007
40;CAMEROON;44.6;2001
41;GUYANA;44.6;2007
42;THAILAND;44.5;2015
43;IRAN;44.5;2006
44;PHILIPPINES;44.4;2015 EST.
45;CENTRAL AFRICAN REPUBLIC;43.6;2003 EST.
46;CHAD;43.3;2011 EST.
47;ZIMBABWE;43.2;2011 EST.
48;ISRAEL;42.8;2013
49;ANGOLA;42.7;2008 EST.
50;BURUNDI;42.4;1998
51;GHANA;42.3;2012-13
52;GABON;42.2;2005 EST.
53;CONGO, DEMOCRATIC REPUBLIC OF THE;42.1;2012 EST.
54;ARGENTINA;41.7;2017 EST.
55;URUGUAY;41.6;2014
56;COTE D'IVOIRE;41.5;2008
57;RUSSIA;41.2;2015
58;MADAGASCAR;41.0;2012
59;MOROCCO;40.9;2007 EST.
60;DJIBOUTI;40.9;2002
61;TURKMENISTAN;40.8;1998
62;SENEGAL;40.3;2011
63;TURKEY;40.2;2010
64;BULGARIA;40.2;2017
65;GEORGIA;40.1;2014
66;MALI;40.1;2001
67;TUNISIA;40.0;2005 EST.
68;JORDAN;39.7;2007
69;UGANDA;39.5;2013
70;BURKINA FASO;39.5;2007
71;GUINEA;39.4;2007
72;SRI LANKA;39.2;2012 EST.
73;VENEZUELA;39.0;2011
74;BHUTAN;38.8;2012
75;SERBIA;38.7;2014 EST.
76;MALDIVES;38.4;2009 EST.
77;CAMBODIA;37.9;2008 EST.
78;JAPAN;37.9;2011
79;YEMEN;37.9;2009 EST.
80;LITHUANIA;37.9;2015
81;TANZANIA;37.6;2007
82;MAURITANIA;37.0;2014
83;INDONESIA;36.8;2009
84;UZBEKISTAN;36.8;2003
85;GREECE;36.7;2012 EST.
86;LAOS;36.7;2008
87;BENIN;36.5;2003
88;NEW ZEALAND;36.2;1997
89;EL SALVADOR;36.0;2016 EST.
90;FALKLAND ISLANDS (ISLAS MALVINAS);36.0;2015
91;MAURITIUS;35.9;2012 EST.
92;SPAIN;35.9;2012
93;KOREA, SOUTH;35.7;2016 EST.
94;ALGERIA;35.3;1995
95;INDIA;35.2;2011
