Yale ;1
Stanford ;2
Harvard;3
Penn Carey ;7
Virginia ;8
Columbia ;5
Michigan ;9
Chicago ;4
Northwestern Pritzker ;10
USC Gould ;17
Duke ;10
Texas ;16
UC-Berkeley ;10
Georgetown ;14
NYU ;6
Cornell ;14
Florida Levin ;31
Vanderbilt ;18
UCLA ;15
George Mason Scalia ;45
Georgia ;27
Washington University ;18
Boston University ;23
UC-Irvine ;23
Notre Dame ;21
Arizona State O'Connor ;27
Arizona Rogers ;39
Fordham ;39
University of Washington ;44
Emory ;26
Alabama ;25
UNLV Boyd ;58
George Washington ;22
William & Mary ;39
Pepperdine Caruso ;51
UC-Davis ;31
Texas A&M ;83
Boston College ;27
Florida International ;91
Florida State ;48
Washington & Lee ;34
Georgia State ;67
North Carolina ;34
Colorado ;45
Loyola-L.A. ;62
Tennessee ;59
Indiana-Maurer ;34
Illinois ;39
Villanova Widger ;71
Minnesota ;20
