DagMånad;2015;2016;2017;2018;2019;2020;2021;2015-2019;2016-2020;-;Sort;Dag;Månad;;
1 januari;295;245;339;275;300;254;95;291;283;;101;1;januari;;
2 januari;272;272;317;312;276;302;112;290;296;;102;2;januari;;
3 januari;281;293;310;295;271;256;108;290;285;;103;3;januari;;
4 januari;256;260;305;285;282;274;79;278;281;;104;4;januari;;
5 januari;268;260;304;291;275;265;58;280;279;;105;5;januari;;
6 januari;256;246;304;268;281;285;66;271;277;;106;6;januari;;
7 januari;309;270;313;272;280;246;24;289;276;;107;7;januari;;
8 januari;294;292;296;260;274;291;1;283;283;;108;8;januari;;
9 januari;272;276;288;274;239;277;0;270;271;;109;9;januari;;
10 januari;285;256;304;287;254;253;0;277;271;;110;10;januari;;
11 januari;282;271;322;269;269;263;0;283;279;;111;11;januari;;
12 januari;287;300;298;283;250;274;0;284;281;;112;12;januari;;
13 januari;262;249;311;299;254;241;0;275;271;;113;13;januari;;
14 januari;272;260;290;269;262;267;0;271;270;;114;14;januari;;
15 januari;299;270;309;291;284;254;0;291;282;;115;15;januari;;
16 januari;287;274;306;295;260;254;0;284;278;;116;16;januari;;
17 januari;265;290;304;267;262;244;0;278;273;;117;17;januari;;
18 januari;263;275;296;268;261;303;0;273;281;;118;18;januari;;
19 januari;275;276;297;281;250;265;0;276;274;;119;19;januari;;
20 januari;265;308;295;273;260;231;0;280;273;;120;20;januari;;
21 januari;283;276;281;270;255;241;0;273;265;;121;21;januari;;
22 januari;308;255;281;279;266;266;0;278;269;;122;22;januari;;
23 januari;278;269;288;270;247;236;0;270;262;;123;23;januari;;
24 januari;259;299;253;280;274;251;0;273;271;;124;24;januari;;
25 januari;278;316;304;288;263;254;0;290;285;;125;25;januari;;
26 januari;261;277;257;258;290;253;0;269;267;;126;26;januari;;
27 januari;269;286;276;278;233;260;0;268;267;;127;27;januari;;
28 januari;276;275;263;275;234;276;0;265;265;;128;28;januari;;
29 januari;292;309;269;274;253;274;0;279;276;;129;29;januari;;
30 januari;300;267;256;243;270;269;0;267;261;;130;30;januari;;
31 januari;288;276;265;249;245;247;0;265;256;;131;31;januari;;
1 februari;289;250;293;270;276;276;0;276;273;;201;1;februari;;
2 februari;279;262;293;260;244;245;0;268;261;;202;2;februari;;
3 februari;264;300;281;270;290;241;0;281;276;;203;3;februari;;
4 februari;254;267;256;288;293;242;0;272;269;;204;4;februari;;
5 februari;255;261;239;291;285;242;0;266;264;;205;5;februari;;
6 februari;269;266;247;288;250;258;0;264;262;;206;6;februari;;
7 februari;284;303;258;297;239;242;0;276;268;;207;7;februari;;
8 februari;263;260;298;262;265;245;0;270;266;;208;8;februari;;
9 februari;281;281;278;260;268;258;0;274;269;;209;9;februari;;
10 februari;278;246;288;292;282;273;0;277;276;;210;10;februari;;
11 februari;288;296;225;293;258;256;0;272;266;;211;11;februari;;
12 februari;326;257;287;273;268;273;0;282;272;;212;12;februari;;
13 februari;267;258;278;310;272;246;0;277;273;;213;13;februari;;
14 februari;266;239;280;293;263;266;0;268;268;;214;14;februari;;
15 februari;295;257;270;295;222;258;0;268;260;;215;15;februari;;
16 februari;296;249;287;309;253;253;0;279;270;;216;16;februari;;
17 februari;296;279;305;279;228;269;0;277;272;;217;17;februari;;
18 februari;304;244;297;265;248;259;0;272;263;;218;18;februari;;
19 februari;290;268;293;301;293;264;0;289;284;;219;19;februari;;
20 februari;337;279;292;291;261;256;0;292;276;;220;20;februari;;
21 februari;288;262;310;331;265;227;0;291;279;;221;21;februari;;
22 februari;296;255;294;303;273;260;0;284;277;;222;22;februari;;
23 februari;293;272;317;319;242;242;0;289;278;;223;23;februari;;
24 februari;322;266;281;287;238;264;0;279;267;;224;24;februari;;
25 februari;323;272;284;284;278;262;0;288;276;;225;25;februari;;
26 februari;303;261;291;335;241;258;0;286;277;;226;26;februari;;
27 februari;296;263;254;301;241;255;0;271;263;;227;27;februari;;
28 februari;265;256;299;304;258;232;0;276;270;;228;28;februari;;
29 februari;0;243;0;0;0;244;0;243;244;;229;29;februari;;
1 mars;274;231;318;330;268;263;0;284;282;;301;1;mars;;
2 mars;295;249;274;303;262;238;0;277;265;;302;2;mars;;
3 mars;310;303;315;304;224;261;0;291;281;;303;3;mars;;
4 mars;298;305;277;310;253;289;0;289;287;;304;4;mars;;
5 mars;295;268;252;323;254;281;0;278;276;;305;5;mars;;
6 mars;313;262;293;329;250;251;0;289;277;;306;6;mars;;
7 mars;273;285;259;309;240;266;0;273;272;;307;7;mars;;
8 mars;257;256;264;334;215;240;0;265;262;;308;8;mars;;
9 mars;297;268;267;311;238;248;0;276;266;;309;9;mars;;
10 mars;295;253;261;305;240;257;0;271;263;;310;10;mars;;
11 mars;263;261;245;293;251;234;0;263;257;;311;11;mars;;
12 mars;283;232;241;318;266;258;0;268;263;;312;12;mars;;
13 mars;260;255;268;317;257;243;0;271;268;;313;13;mars;;
14 mars;274;222;283;285;260;246;0;265;259;;314;14;mars;;
15 mars;260;255;260;297;294;244;0;273;270;;315;15;mars;;
16 mars;274;253;285;289;240;293;0;268;272;;316;16;mars;;
17 mars;272;273;252;306;261;266;0;273;272;;317;17;mars;;
18 mars;258;264;264;277;225;257;0;258;257;;318;18;mars;;
19 mars;273;253;237;280;255;235;0;260;252;;319;19;mars;;
20 mars;283;280;260;284;226;279;0;267;266;;320;20;mars;;
21 mars;250;265;242;309;228;264;0;259;262;;321;21;mars;;
22 mars;264;251;257;288;237;271;0;259;261;;322;22;mars;;
23 mars;262;274;231;289;226;298;0;256;264;;323;23;mars;;
24 mars;257;252;229;298;235;281;0;254;259;;324;24;mars;;
25 mars;220;230;256;249;237;294;0;238;253;;325;25;mars;;
26 mars;317;264;217;262;265;304;0;265;262;;326;26;mars;;
27 mars;291;259;279;276;213;294;0;264;264;;327;27;mars;;
28 mars;292;234;260;300;211;268;0;259;255;;328;28;mars;;
29 mars;291;240;244;265;251;301;0;258;260;;329;29;mars;;
30 mars;288;258;253;278;252;338;0;266;276;;330;30;mars;;
31 mars;280;254;233;292;236;309;0;259;265;;331;31;mars;;
1 april;285;252;257;275;227;328;0;259;268;;401;1;april;;
2 april;263;277;256;297;238;369;0;266;287;;402;2;april;;
3 april;235;263;251;307;247;364;0;261;286;;403;3;april;;
4 april;247;255;277;281;253;314;0;263;276;;404;4;april;;
5 april;236;241;250;269;259;361;0;251;276;;405;5;april;;
6 april;260;245;260;279;220;369;0;253;275;;406;6;april;;
7 april;280;247;291;279;254;344;0;270;283;;407;7;april;;
8 april;278;210;234;276;235;393;0;247;270;;408;8;april;;
9 april;258;262;231;250;211;364;0;242;264;;409;9;april;;
10 april;266;245;224;275;227;376;0;247;269;;410;10;april;;
11 april;250;242;234;233;226;366;0;237;260;;411;11;april;;
12 april;257;259;264;251;235;357;0;253;273;;412;12;april;;
13 april;252;241;270;269;255;354;0;257;278;;413;13;april;;
14 april;272;251;246;272;223;353;0;253;269;;414;14;april;;
15 april;258;243;225;232;256;398;0;243;271;;415;15;april;;
16 april;273;273;256;227;240;398;0;254;279;;416;16;april;;
17 april;274;264;250;272;249;358;0;262;279;;417;17;april;;
18 april;255;248;219;261;231;338;0;243;259;;418;18;april;;
19 april;260;229;224;223;268;326;0;241;254;;419;19;april;;
20 april;265;246;264;239;246;310;0;252;261;;420;20;april;;
21 april;263;252;288;217;246;332;0;253;267;;421;21;april;;
22 april;253;258;264;248;232;332;0;251;267;;422;22;april;;
23 april;235;263;259;233;240;326;0;246;264;;423;23;april;;
24 april;242;275;257;226;255;312;0;251;265;;424;24;april;;
25 april;255;212;272;249;255;331;0;249;264;;425;25;april;;
26 april;251;244;247;245;241;325;0;246;260;;426;26;april;;
27 april;220;243;265;225;245;300;0;240;256;;427;27;april;;
28 april;256;228;232;235;230;336;0;236;252;;428;28;april;;
29 april;265;211;270;226;225;322;0;239;251;;429;29;april;;
30 april;230;227;229;244;217;319;0;229;247;;430;30;april;;
1 maj;235;239;235;249;244;360;0;240;265;;501;1;maj;;
2 maj;218;233;233;252;249;296;0;237;253;;502;2;maj;;
3 maj;232;239;254;254;206;306;0;237;252;;503;3;maj;;
4 maj;244;260;273;224;241;331;0;248;266;;504;4;maj;;
5 maj;237;235;227;222;231;309;0;230;245;;505;5;maj;;
6 maj;238;226;228;216;239;325;0;229;247;;506;6;maj;;
7 maj;235;215;246;234;232;328;0;232;251;;507;7;maj;;
8 maj;247;211;228;231;229;294;0;229;239;;508;8;maj;;
9 maj;222;217;261;220;249;284;0;234;246;;509;9;maj;;
10 maj;238;247;235;230;235;311;0;237;252;;510;10;maj;;
11 maj;220;215;279;225;233;319;0;234;254;;511;11;maj;;
12 maj;248;241;235;213;226;290;0;233;241;;512;12;maj;;
13 maj;252;228;257;219;215;284;0;234;241;;513;13;maj;;
14 maj;217;217;229;238;217;275;0;224;235;;514;14;maj;;
15 maj;246;221;224;223;225;275;0;228;234;;515;15;maj;;
16 maj;253;251;220;233;220;266;0;235;238;;516;16;maj;;
17 maj;232;221;225;225;208;279;0;222;232;;517;17;maj;;
18 maj;253;222;243;204;224;302;0;229;239;;518;18;maj;;
19 maj;222;217;231;185;248;259;0;221;228;;519;19;maj;;
20 maj;244;222;254;178;204;278;0;220;227;;520;20;maj;;
21 maj;239;224;187;210;208;249;0;214;216;;521;21;maj;;
22 maj;240;208;220;201;219;292;0;218;228;;522;22;maj;;
23 maj;217;227;232;219;190;270;0;217;228;;523;23;maj;;
24 maj;255;230;251;223;230;268;0;238;240;;524;24;maj;;
25 maj;220;192;226;207;233;242;0;216;220;;525;25;maj;;
26 maj;233;201;245;213;202;225;0;219;217;;526;26;maj;;
27 maj;219;225;224;187;224;245;0;216;221;;527;27;maj;;
28 maj;234;272;248;215;218;216;0;237;234;;528;28;maj;;
29 maj;240;203;218;212;239;230;0;222;220;;529;29;maj;;
30 maj;246;218;235;214;223;242;0;227;226;;530;30;maj;;
31 maj;235;214;229;202;211;256;0;218;222;;531;31;maj;;
1 juni;240;220;220;213;237;264;0;226;231;;601;1;juni;;
2 juni;224;215;230;205;189;269;0;213;222;;602;2;juni;;
3 juni;240;243;260;220;246;255;0;242;245;;603;3;juni;;
4 juni;229;219;228;217;221;227;0;223;222;;604;4;juni;;
5 juni;233;212;237;214;244;269;0;228;235;;605;5;juni;;
6 juni;236;187;207;194;201;233;0;205;204;;606;6;juni;;
7 juni;215;196;219;228;200;234;0;212;215;;607;7;juni;;
8 juni;228;236;215;229;214;231;0;224;225;;608;8;juni;;
9 juni;216;201;244;230;218;258;0;222;230;;609;9;juni;;
10 juni;214;206;224;201;203;278;0;210;222;;610;10;juni;;
11 juni;219;207;203;190;202;243;0;204;209;;611;11;juni;;
12 juni;256;229;233;208;187;244;0;223;220;;612;12;juni;;
13 juni;258;223;239;214;198;255;0;226;226;;613;13;juni;;
14 juni;218;211;212;202;229;212;0;214;213;;614;14;juni;;
15 juni;239;219;220;208;218;247;0;221;222;;615;15;juni;;
16 juni;206;227;217;213;207;237;0;214;220;;616;16;juni;;
17 juni;217;223;240;206;228;261;0;223;232;;617;17;juni;;
18 juni;226;229;229;226;207;255;0;223;229;;618;18;juni;;
19 juni;222;209;212;212;233;222;0;218;218;;619;19;juni;;
20 juni;245;224;189;215;225;234;0;220;217;;620;20;juni;;
21 juni;237;215;209;227;202;213;0;218;213;;621;21;juni;;
22 juni;236;213;204;214;229;229;0;219;218;;622;22;juni;;
23 juni;206;209;227;186;202;220;0;206;209;;623;23;juni;;
24 juni;222;251;227;220;192;226;0;222;223;;624;24;juni;;
25 juni;216;244;223;223;227;256;0;227;235;;625;25;juni;;
26 juni;219;217;224;246;226;222;0;226;227;;626;26;juni;;
27 juni;202;211;203;265;213;250;0;219;228;;627;27;juni;;
28 juni;224;222;201;222;220;270;0;218;227;;628;28;juni;;
