År;DagMånad;Totalt;M Tot;M 0-64 år;M 65-79 år;M 80-89 år;M 90+ år;K Tot;K 0-64 år;K 65-79 år;K 80-89 år;K 90+ år;-;Sort;Dag;Månad;Ar;;;;;-;Sort;Dag;Månad
2021;8 januari;1;1;0;0;1;0;0;0;0;0;0;;0108;8;januari;2021;;;;;;101;1;januari
2021;7 januari;24;12;0;5;5;2;12;1;2;6;3;;0107;7;januari;2021;;;;;;102;2;januari
2021;6 januari;66;30;2;7;12;9;36;3;9;13;11;;0106;6;januari;2021;;;;;;103;3;januari
2021;5 januari;58;28;5;6;10;7;30;2;6;10;12;;0105;5;januari;2021;;;;;;104;4;januari
2021;4 januari;79;37;5;8;20;4;42;1;10;11;20;;0104;4;januari;2021;;;;;;105;5;januari
2021;3 januari;108;52;1;19;15;17;56;5;13;19;19;;0103;3;januari;2021;;;;;;106;6;januari
2021;2 januari;112;49;5;22;12;10;63;3;8;31;21;;0102;2;januari;2021;;;;;;107;7;januari
2021;1 januari;95;46;5;18;16;7;49;3;7;24;15;;0101;1;januari;2021;;;;;;108;8;januari
2020;31 december;144;72;5;22;29;16;72;4;9;27;32;;1231;31;december;2020;;;;;;109;9;januari
2020;30 december;138;65;9;18;22;16;73;7;13;25;28;;1230;30;december;2020;;;;;;110;10;januari
2020;29 december;218;105;11;39;40;15;113;12;26;37;38;;1229;29;december;2020;;;;;;111;11;januari
2020;28 december;315;150;11;55;58;26;165;10;39;64;52;;1228;28;december;2020;;;;;;112;12;januari
2020;27 december;307;163;14;55;56;38;144;9;37;51;47;;1227;27;december;2020;;;;;;113;13;januari
2020;26 december;319;159;23;51;57;28;160;14;38;60;48;;1226;26;december;2020;;;;;;114;14;januari
2020;25 december;297;163;14;50;67;32;134;8;24;53;49;;1225;25;december;2020;;;;;;115;15;januari
2020;24 december;292;166;14;60;58;34;126;5;38;45;38;;1224;24;december;2020;;;;;;116;16;januari
2020;23 december;276;153;12;52;61;28;123;8;30;47;38;;1223;23;december;2020;;;;;;117;17;januari
2020;22 december;301;146;8;51;54;33;155;12;27;66;50;;1222;22;december;2020;;;;;;118;18;januari
2020;21 december;301;160;15;44;61;40;141;15;33;47;46;;1221;21;december;2020;;;;;;119;19;januari
2020;20 december;308;157;16;54;65;22;151;10;35;55;51;;1220;20;december;2020;;;;;;120;20;januari
2020;19 december;305;155;20;49;63;23;150;5;43;43;59;;1219;19;december;2020;;;;;;121;21;januari
2020;18 december;290;136;12;49;49;26;154;7;44;64;39;;1218;18;december;2020;;;;;;122;22;januari
2020;17 december;354;174;15;54;67;38;180;13;41;59;67;;1217;17;december;2020;;;;;;123;23;januari
2020;16 december;340;160;11;65;52;32;180;8;43;76;53;;1216;16;december;2020;;;;;;124;24;januari
2020;15 december;322;146;10;42;62;32;176;7;47;67;55;;1215;15;december;2020;;;;;;125;25;januari
2020;14 december;329;164;18;64;53;29;165;6;37;65;57;;1214;14;december;2020;;;;;;126;26;januari
2020;13 december;291;141;17;37;65;22;150;7;31;51;61;;1213;13;december;2020;;;;;;127;27;januari
2020;12 december;298;138;11;47;53;27;160;14;37;64;45;;1212;12;december;2020;;;;;;128;28;januari
2020;11 december;314;168;21;59;61;27;146;12;34;50;50;;1211;11;december;2020;;;;;;129;29;januari
2020;10 december;328;161;21;55;56;29;167;11;36;70;50;;1210;10;december;2020;;;;;;130;30;januari
2020;9 december;296;137;19;45;44;29;159;14;41;56;48;;1209;9;december;2020;;;;;;131;31;januari
2020;8 december;293;162;11;55;64;32;131;11;37;39;44;;1208;8;december;2020;;;;;;201;1;februari
2020;7 december;281;141;17;38;63;23;140;10;23;59;48;;1207;7;december;2020;;;;;;202;2;februari
2020;6 december;313;163;11;52;66;34;150;8;28;56;58;;1206;6;december;2020;;;;;;203;3;februari
2020;5 december;284;150;10;53;69;18;134;9;30;41;54;;1205;5;december;2020;;;;;;204;4;februari
2020;4 december;307;149;8;59;49;33;158;15;25;63;55;;1204;4;december;2020;;;;;;205;5;februari
2020;3 december;327;167;14;45;82;26;160;9;40;59;52;;1203;3;december;2020;;;;;;206;6;februari
2020;2 december;311;157;15;60;55;27;154;7;36;64;47;;1202;2;december;2020;;;;;;207;7;februari
2020;1 december;315;151;19;50;44;38;164;3;37;60;64;;1201;1;december;2020;;;;;;208;8;februari
