"kön","månad","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"män","januari",4458,4576,4681,4360,4591,4230,4911,4577,4020,4192,4699,3981,4084,4484,4217,3966,4074,4083,4070,4462,4129,4155,4078,4236,3969,4076,4163,4407,4303,4199
"män","februari",3838,3794,4269,3830,3727,3754,4096,4025,3943,4152,4003,3586,3627,3634,3492,3820,3628,3765,3587,3793,3547,3547,3989,3738,3596,3944,3776,3781,4023,3698
"män","mars",4358,4107,4177,4490,3861,4060,3988,3934,4321,4353,3964,4009,4311,4048,3773,4554,3957,4072,4069,3830,3902,3860,4090,4024,3737,4165,3962,4006,4508,3833
"män","april",4161,4161,3949,4004,3755,4097,3696,3797,3978,3643,3602,3835,4001,3797,3554,3882,3673,3723,3727,3482,3623,3683,3701,3859,3417,3785,3675,3770,3825,3607
"män","maj",4086,4119,3807,3846,3761,3937,3732,3830,3673,3735,3696,3865,3617,3603,3533,3698,3494,3509,3514,3533,3459,3510,3618,3442,3620,3625,3520,3726,3506,3478
"män","juni",3881,3903,3888,3677,3645,3817,3555,3641,3534,3406,3486,3569,3394,3336,3400,3456,3428,3359,3427,3327,3383,3257,3357,3352,3366,3349,3325,3369,3269,3283
"män","juli",3961,4131,3895,3795,3800,3777,3692,3725,3666,3595,3645,3685,3624,3596,3444,3505,3497,3454,3600,3356,3510,3491,3496,3369,3573,3491,3525,3372,3721,3430
"män","augusti",3879,3891,3766,3757,3636,3657,3572,3679,3720,3704,3453,3478,3638,3491,3551,3436,3471,3318,3400,3358,3396,3446,3422,3366,3621,3395,3451,3435,3455,3459
"män","september",3875,3918,3753,3706,3940,3727,3580,3742,3528,3552,3523,3575,3434,3530,3447,3430,3512,3497,3411,3302,3500,3415,3297,3348,3427,3511,3410,3396,3446,3502
"män","oktober",3888,3848,3970,3851,3833,3755,3758,3794,3795,3759,3717,3691,3882,3740,3639,3512,3677,3594,3618,3658,3605,3672,3640,3629,3713,3601,3726,3724,3717,3817
"män","november",4032,4073,3948,4046,3794,3874,3852,3549,3847,3775,3628,3769,3675,3629,3646,3467,3715,3533,3578,3618,3617,3512,3546,3472,3517,3612,3679,3697,3547,3633
"män","december",4496,4480,4180,5475,3985,4617,4425,4099,4330,4432,3981,4080,4208,4139,3968,3904,3933,3961,3970,3888,4202,4005,4038,3813,3808,3863,4079,4031,3923,3899
"kvinnor","januari",4283,4405,4461,4422,4597,4094,5221,4806,4059,4421,5123,4293,4387,4833,4491,4251,4343,4348,4293,4933,4423,4479,4354,4553,4134,4589,4526,4875,4500,4173
"kvinnor","februari",3721,3635,4122,3796,3551,3631,4058,4162,3917,4282,4178,3885,3820,3975,3871,4048,3730,3921,3964,4119,3766,3723,4395,4194,3811,4148,4035,4244,4314,3789
"kvinnor","mars",4063,3896,4151,4608,3882,4026,4005,4105,4308,4717,4109,4304,4699,4256,4087,4779,4220,4664,4297,4193,4162,4279,4663,4541,3951,4501,4201,4242,4929,3958
"kvinnor","april",3815,3768,3800,3862,3433,4047,3729,3728,4006,3849,3904,4135,4147,3902,3695,4086,3714,4069,4115,3871,3882,3832,4006,4049,3795,3946,3870,3961,3972,3766
"kvinnor","maj",3840,3850,3709,3665,3667,3853,3802,3775,3747,3794,3797,4035,3952,3668,3893,3732,3895,3742,3889,3813,3843,3796,3834,3754,3767,3726,3614,3762,3447,3669
"kvinnor","juni",3540,3742,3649,3591,3434,3524,3603,3647,3472,3525,3546,3902,3660,3543,3576,3686,3728,3700,3645,3487,3471,3452,3433,3484,3450,3497,3378,3468,3394,3351
"kvinnor","juli",3735,3875,3708,3705,3907,3669,3584,3642,3715,3795,3816,3958,3907,3860,3726,3681,3887,3747,3734,3566,3744,3699,3676,3562,3810,3629,3706,3555,3747,3514
"kvinnor","augusti",3620,3638,3453,3510,3526,3609,3587,3666,3637,3803,3803,3842,3972,3775,3657,3676,3845,3684,3639,3434,3614,3573,3648,3568,3574,3419,3706,3561,3516,3572
"kvinnor","september",3492,3704,3497,3602,3714,3608,3556,3554,3454,3648,3686,3707,3747,3692,3552,3462,3674,3681,3711,3405,3582,3686,3640,3494,3563,3495,3461,3517,3506,3353
"kvinnor","oktober",3699,3615,3738,3688,3676,3762,3753,3824,3842,3846,3720,3892,4188,3901,3855,3635,3863,3909,3761,3777,3849,3940,3844,3649,3740,3638,3758,3863,3723,3719
"kvinnor","november",3846,3793,3783,3846,3720,3834,3689,3636,3999,3849,3821,3936,4045,3758,3789,3676,3907,3943,3865,3768,3833,3679,3750,3766,3735,3731,3871,3785,3555,3805
"kvinnor","december",4398,4072,4109,5582,4086,4621,4329,3960,4400,4521,4178,4321,4589,4356,4330,4162,4153,4315,4453,3987,4400,4195,4401,4120,4260,4080,4379,4228,4091,3997
