1	 Maine	44.9
2	 New Hampshire	43.0
3	 Vermont	42.8
4	 West Virginia	42.7
5	 Florida	42.2
6	 Puerto Rico	41.5
8	 Connecticut	41.0
9	 Pennsylvania	40.8
10	 Delaware	40.7
11	 Rhode Island	40.1
12	 New Jersey	40.0
13	 Montana	39.9
14	 Michigan	39.8
15	 South Carolina	39.6
15	 Wisconsin	39.6
17	 Massachusetts	39.4
17	 Ohio	39.4
17	 Oregon	39.4
20	 Alabama	39.2
20	 Hawaii	39.2
22	 New York	39.0
23	 Kentucky	38.9
23	 North Carolina	38.9
25	 Maryland	38.8
25	 Tennessee	38.8
27	 Missouri	38.7
28	 Virginia	38.4
29	 Arkansas	38.3
29	 Illinois	38.3
31	 Iowa	38.2
32	 Minnesota	38.1
32	 Nevada	38.1
32	 New Mexico	38.1
35	 Wyoming	38.0
36	 Arizona	37.9
36	 Indiana	37.9
38	 Mississippi	37.7
38	 Washington	37.7
40	 Louisiana	37.2
41	 South Dakota	37.1
42	 Colorado	36.9
42	 Georgia	36.9
42	 Kansas	36.9
45	 California	36.8
46	 Oklahoma	36.7
47	 Idaho	36.6
47	 Nebraska	36.6
49	 North Dakota	35.2
50	 Texas	34.8
51	 Alaska	34.6
52	 District of Columbia	34.0
54	 Utah	31.0
